version,setups,view,size,n_ids_union,gold_recall,gold_precision,AnnoCTR_size,AnnoCTR_precision,AnnoCTR_recall,TRAM2_size,TRAM2_precision,TRAM2_recall
v1.0,1,strong_consensus,5249,120,0.7113634286758659,0.3797559441222348,1042,0.3722627737226277,0.4935483870967742,4207,0.3872491145218418,0.9291784702549575
v2.0,2,strong_consensus,3078,93,0.49175271863291603,0.6522924342227681,722,0.5974842767295597,0.3064516129032258,2356,0.7071005917159763,0.6770538243626062
v3.0,3,strong_consensus,3984,85,0.46224527094946544,0.6960583413693346,876,0.6544117647058824,0.2870967741935484,3108,0.7377049180327869,0.6373937677053825
v4.0,4,strong_consensus,3616,68,0.3729370373754912,0.7529055306833086,732,0.7362637362637363,0.2161290322580645,2884,0.7695473251028807,0.5297450424929179
v5.0,5,strong_consensus,1615,56,0.22016814401900758,0.8819444444444444,275,0.8888888888888888,0.1032258064516129,1340,0.875,0.3371104815864023
v6.0,6,strong_consensus,1236,50,0.16256967924700721,0.9055258467023173,186,0.9090909090909091,0.06451612903225806,1050,0.9019607843137255,0.26062322946175637
