k,size,n_ids_sum,n_ids_union,gold_recall,gold_precision
1,27420,162,139,0.8824545371470346,0.25324111200213845
2,15120,145,124,0.7686831764598374,0.41688921236016874
3,8862,120,103,0.5804304121356118,0.5988018433179724
4,5808,99,82,0.4549666453440555,0.7130378096479791
5,2956,79,67,0.2918897925614548,0.8390359873205295
6,1236,55,50,0.16256967924700721,0.9055258467023173
