"attack_id","name","is_subtechnique","kill_chain_phases","platforms","data_sources","stix_id","ontology_completeness"
"T1070.006","Timestomp","true","stealth","ESXi|Linux|macOS|Windows","","attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611","stix_bundle_loaded"
"T1557.004","Evil Twin","true","credential-access|collection","Network Devices","","attack-pattern--48b836c6-e4ca-435a-82a3-29c03e5b492e","stix_bundle_loaded"
"T1620","Reflective Code Loading","false","stealth","Linux|macOS|Windows","","attack-pattern--4933e63b-9b77-476e-ab29-761bc5b7d15a","stix_bundle_loaded"
"T1016.002","Wi-Fi Discovery","true","discovery","Linux|Windows|macOS","","attack-pattern--494ab9f0-36e0-4b06-b10d-57285b040a06","stix_bundle_loaded"
"T1480.002","Mutual Exclusion","true","stealth","Linux|macOS|Windows","","attack-pattern--49fca0d2-685d-41eb-8bd4-05451cc3a742","stix_bundle_loaded"
"T1564.011","Ignore Process Interrupts","true","stealth","Linux|macOS|Windows","","attack-pattern--4a2975db-414e-4c0c-bd92-775987514b4b","stix_bundle_loaded"
"T1611","Escape to Host","false","privilege-escalation","Windows|Linux|Containers|ESXi","","attack-pattern--4a5b7ade-8bb5-4853-84ed-23f262002665","stix_bundle_loaded"
"T1518.002","Backup Software Discovery","true","discovery","Windows|macOS|Linux","","attack-pattern--4a6cfdae-1417-40c7-a84e-f59d21c58266","stix_bundle_loaded"
"T1547.009","Shortcut Modification","true","persistence|privilege-escalation","Windows","","attack-pattern--4ab929c6-ee2d-4fb5-aab4-b14be2ed7179","stix_bundle_loaded"
"T1010","Application Window Discovery","false","discovery","Linux|macOS|Windows","","attack-pattern--4ae4f953-fe58-4cc8-a327-33257e30a830","stix_bundle_loaded"
"T1569.003","Systemctl","true","execution","Linux","","attack-pattern--4b46767d-4a61-4f30-995e-c19a75c2e536","stix_bundle_loaded"
"T1032","Standard Cryptographic Protocol","false","command-and-control","Linux|macOS|Windows","","attack-pattern--4b74a1d4-b0e9-4ef1-93f1-14ecc6e2f5b5","stix_bundle_loaded"
"T1087.003","Email Account","true","discovery","Windows|Office Suite","","attack-pattern--4bc31b94-045b-4752-8920-aebaebdb6470","stix_bundle_loaded"
"T1062","Hypervisor","false","persistence","Windows","","attack-pattern--4be89c7c-ace6-4876-9377-c8d54cef3d63","stix_bundle_loaded"
"T1497.003","Time Based Checks","true","stealth|discovery","Linux|macOS|Windows","","attack-pattern--4bed873f-0b7d-41d4-b93a-b6905d1f90b0","stix_bundle_loaded"
"T1182","AppCert DLLs","false","persistence|privilege-escalation","Windows","","attack-pattern--4bf5845d-a814-4490-bc5c-ccdee6043025","stix_bundle_loaded"
"T1218.003","CMSTP","true","stealth","Windows","","attack-pattern--4cbc6a62-9e34-4f94-8a19-5c1a11392a49","stix_bundle_loaded"
"T1563.001","SSH Hijacking","true","lateral-movement","Linux|macOS","","attack-pattern--4d2a5b3e-340d-4600-9123-309dd63c9bf8","stix_bundle_loaded"
"T1562.002","Disable Windows Event Logging","true","stealth","Windows","","attack-pattern--4eb28bed-d11a-4641-9863-c2ac017d910a","stix_bundle_loaded"
"T1029","Scheduled Transfer","false","exfiltration","Linux|macOS|Windows","","attack-pattern--4eeaf8a9-c86b-4954-a663-9555fb406466","stix_bundle_loaded"
