"source_attack_id","relationship_type","target_attack_id"
"S0199","uses","T1055.004"
"S0276","uses","T1090.003"
"G1017","uses","S0108"
"S0487","uses","T1027.013"
"S1213","uses","T1059.010"
"S0581","uses","T1059.006"
"G0134","uses","T1189"
"G0016","uses","S0684"
"S1142","uses","T1114.001"
"T1550.004","subtechnique-of","T1550"
"S1212","uses","T1070.004"
"S1028","uses","T1140"
"S1130","uses","T1518.001"
"S0589","uses","T1012"
"S0396","uses","T1547.001"
"M1038","mitigates","T1219.001"
"G1003","uses","T1003"
"S0357","uses","T1557.001"
"G0082","uses","T1055"
"S1087","uses","T1622"
"S0266","uses","T1033"
"S0648","uses","T1053.005"
"G0032","uses","T1059.003"
"G0050","uses","S0002"
"G0060","uses","T1140"
"S0459","uses","T1041"
"S0483","uses","T1497"
"S0649","uses","T1573.001"
"G1005","uses","S1023"
"S0393","uses","T1102.002"
"G1023","uses","T1059.001"
"M1026","mitigates","T1550.003"
"G0135","uses","T1027"
"G0139","uses","T1219"
"G0094","uses","T1005"
"S1133","uses","T1685.005"
"S0627","uses","T1105"
"G0065","uses","T1567.002"
"G1046","uses","S1070"
"G0130","uses","S0225"
"G1024","uses","T1567.002"
"S9035","uses","T1041"
"G0098","uses","T1204.001"
"G0129","uses","T1016"
"G0098","uses","S0435"
"S1018","uses","T1218.010"
"S0024","uses","T1016"
"M1038","mitigates","T1216.002"
"M1015","mitigates","T1558"
"G1004","uses","T1589"
"S1180","uses","T1135"
"T1136.003","subtechnique-of","T1136"
"S1132","uses","T1070"
"G0114","uses","T1574.001"
"S0260","uses","T1573.001"
"S0365","uses","T1016"
"G1017","uses","S0029"
"M1042","mitigates","T1671"
"S1024","uses","T1078.002"
"T1143","revoked-by","T1564.003"
"S0413","uses","T1114.002"
"S0259","uses","T1059.003"
"S0531","uses","T1059.005"
"S0136","uses","T1083"
"G1014","uses","T1567.002"
"G1018","uses","T1608.001"
"S0461","uses","T1083"
"G0040","uses","T1560"
"M1047","mitigates","T1059.006"
"S0669","uses","T1140"
"S0250","uses","T1016"
"S0187","uses","T1059.003"
"G1014","uses","T1566.002"
"G1002","uses","T1105"
"S0144","uses","T1071.001"
"S1052","uses","T1480"
"S0565","uses","T1027.013"
"S0363","uses","T1125"
"S1019","uses","T1105"
"M1042","mitigates","T1021.005"
"G0048","uses","T1189"
"S1086","uses","T1140"
"S0237","uses","T1027.005"
"S0650","uses","T1218.010"
"S0689","uses","T1542.003"
"G0034","uses","T1040"
"S0671","uses","T1568"
"G0045","uses","T1018"
"S0428","uses","T1041"
"G1053","uses","S0357"
"G0081","uses","T1543.003"
"S1246","uses","T1071.001"
"S0236","uses","T1069.002"
"S0237","uses","T1082"
"S0596","uses","T1033"
"G1020","uses","T1583.008"
"G0045","uses","T1047"
"S0458","uses","T1135"
"G1051","uses","T1570"
"S0331","uses","T1055"
"S1160","uses","T1102"
"S0354","uses","T1070.004"
"G0059","uses","T1567"
"S1030","uses","T1033"
"M1047","mitigates","T1036"
"S0448","uses","T1070.004"
"S0117","uses","T1552.001"
"S1023","uses","T1071.001"
"G1018","uses","S1086"
"G0073","uses","T1547.001"
"S0574","uses","T1140"
"S0352","uses","T1095"
"G1009","uses","T1021.002"
"G0016","uses","S0515"
"S0631","uses","T1218.007"
"S0020","uses","T1110.001"
"S0147","uses","T1113"
"M1026","mitigates","T1555.006"
"S0650","uses","T1564.001"
"M1047","mitigates","T1482"
"S0611","uses","T1518.001"
"S0284","uses","T1105"
"S0363","uses","T1021.003"
"S0223","uses","T1559.001"
"S0284","uses","T1016.001"
"S0532","uses","T1496.001"
"M1034","mitigates","T1219.003"
"T1547.009","subtechnique-of","T1547"
"G0021","uses","S0553"
"S0022","uses","T1573.002"
"S0376","uses","T1652"
"S1081","uses","T1620"
"G0038","uses","T1555.004"
"G1054","uses","T1566.002"
"S0332","uses","T1491.001"
"S0016","uses","T1001.001"
