"source_attack_id","relationship_type","target_attack_id"
"G1045","uses","T1572"
"S0434","uses","T1056.001"
"S0518","uses","T1105"
"S1125","uses","T1485"
"S0235","uses","T1113"
"G1014","uses","T1041"
"G0117","uses","T1560.001"
"S0370","uses","T1027.013"
"S0666","uses","T1620"
"G0094","uses","T1489"
"G0098","uses","S0437"
"G1014","uses","T1608.004"
"G0129","uses","T1140"
"S0356","uses","T1049"
"S0241","uses","T1033"
"G0117","uses","T1027.010"
"G1018","uses","T1027.002"
"S0113","uses","T1027.013"
"S0113","uses","T1113"
"S0354","uses","T1082"
"S1042","uses","T1036.004"
"S9010","uses","T1090.001"
"S0070","uses","T1027"
"S0130","uses","T1091"
"S1118","uses","T1205"
"S0091","uses","T1083"
"S0166","uses","T1569.002"
"G1039","uses","T1080"
"T1547.004","subtechnique-of","T1547"
"S1186","uses","T1690"
"G0052","uses","T1560.003"
"M1033","mitigates","T1059"
"T1562.003","revoked-by","T1690"
"S0660","uses","T1083"
"S0409","uses","T1125"
"S0356","uses","T1555.003"
"S0603","uses","T1047"
"G0106","uses","T1102"
"M1056","mitigates","T1683"
"S0198","uses","T1027.002"
"S0458","uses","T1014"
"S1122","uses","T1614.001"
"S0428","uses","T1566.001"
"S1147","uses","T1057"
"S0436","uses","T1071.001"
"S0228","uses","T1027.013"
"M1051","mitigates","T1555"
"G0127","uses","T1589.002"
"G0034","uses","T1041"
"M1054","mitigates","T1553.004"
"G1044","uses","T1036.005"
"S1227","uses","T1574.001"
"S0456","uses","T1025"
"G1030","uses","T1046"
"S1185","uses","T1480"
"G1006","uses","T1189"
"S0114","uses","T1564.005"
"G0105","uses","S0191"
"S0472","uses","T1083"
"S0373","uses","T1115"
"S1090","uses","T1005"
"S0698","uses","T1569.002"
"G0096","uses","T1543.003"
"S1068","uses","T1486"
"S0663","uses","T1057"
"S0373","uses","T1082"
"G1015","uses","T1564.008"
"S1111","uses","T1566.002"
"G1054","uses","T1591"
"S0409","uses","T1027.002"
"S0438","uses","T1037.001"
"G0047","uses","T1218.011"
"S0261","uses","T1056.001"
"G1017","uses","T1555"
"S1227","uses","T1059"
"S0622","uses","T1027.002"
"T1565.002","subtechnique-of","T1565"
"G1055","uses","T1123"
"G0019","uses","S0097"
"G0016","uses","T1528"
"G0134","uses","T1584.001"
"S1058","uses","T1486"
"S0200","uses","T1105"
"S0194","uses","T1123"
"G1016","uses","T1046"
"G0087","uses","S0375"
"S0673","uses","T1027.015"
"S0697","uses","T1134"
"S1199","uses","T1059.003"
"S0482","uses","T1564"
"S0662","uses","T1057"
"S1016","uses","T1553.002"
"G0120","uses","T1219.002"
"G0139","uses","T1049"
"S1193","uses","T1105"
"G1039","uses","T1204.002"
"S1170","uses","T1567.002"
"S1141","uses","T1560.002"
"S9024","uses","T1505.003"
"G1046","uses","T1036.005"
"M1026","mitigates","T1222.001"
"S0436","uses","T1055"
"S0170","uses","T1547.001"
"S0081","uses","T1007"
"S1059","uses","T1027.013"
"S0650","uses","T1685"
"G0019","uses","T1547.001"
"G0089","uses","T1518.001"
"S0045","uses","T1560"
"S0228","uses","T1059.007"
"S0180","uses","T1012"
"S1153","uses","T1569.001"
"S0530","uses","T1059.010"
"S0661","uses","T1560.003"
"S0154","uses","T1056.001"
"S0346","uses","T1016"
"S0439","uses","T1497.003"
"S0531","uses","T1102.001"
"G0114","uses","T1041"
"S0630","uses","T1005"
"S0266","uses","T1106"
"G0053","uses","T1074.001"
"S0634","uses","T1204.002"
"S0182","uses","T1497.001"
"S1149","uses","T1120"
"S1219","uses","T1546.017"
"S0094","uses","T1027"
"S0436","uses","T1140"
"S0367","uses","T1134.001"
"S1232","uses","T1574.001"
"S0446","uses","T1083"
"M1034","mitigates","T1674"
"S1168","uses","T1680"
"S0395","uses","T1020"
"S0196","uses","T1087.001"
"G1053","uses","S0154"
"S0387","uses","T1543.003"
"G0125","uses","T1068"
"S0283","uses","T1059.003"
"S0043","uses","T1071.001"
"S0356","uses","T1005"
"S1183","uses","T1553.002"
"S1143","uses","T1016"
"T1031","revoked-by","T1543.003"
"S0666","uses","T1547.012"
"M1015","mitigates","T1552"
"S9031","uses","T1102"
"S1244","uses","T1027.013"
"S1090","uses","T1106"
"S1066","uses","T1547.001"
"S0284","uses","T1573.001"
"S0125","uses","T1070.004"
"S0650","uses","T1083"
"S1146","uses","T1087.001"
"G0094","uses","T1217"
"G0102","uses","T1543.003"
"G0059","uses","T1071"
"G1046","uses","S0154"
"G0007","uses","T1090.003"
"S0018","uses","T1111"
"S1200","uses","T1070.004"
"S0218","uses","T1102.002"
"S1060","uses","T1133"
"S0697","uses","T1484.001"
"G1004","uses","T1213.003"
"S0381","uses","T1033"
"S0062","uses","T1518"
"G0079","uses","T1204.002"
"S1187","uses","T1059.006"
"S0148","uses","T1566.001"
"S0136","uses","T1052.001"
"G0069","uses","S9036"
"G0032","uses","T1591"
"S1020","uses","T1082"
"T1493","revoked-by","T1565.002"
"G0094","uses","T1204.001"
"S1145","uses","T1482"
"G1030","uses","T1078.002"
"G1048","uses","S1223"
"G0102","uses","T1021.002"
"G1006","uses","T1018"
"G0138","uses","T1049"
"T1218.008","subtechnique-of","T1218"
"T1597.002","subtechnique-of","T1597"
"G1026","uses","T1555.003"
"S0385","uses","T1012"
"S0428","uses","T1083"
"S0689","uses","T1083"
"T1059.003","subtechnique-of","T1059"
"S0412","uses","T1090"
"M1051","mitigates","T1611"
"M1032","mitigates","T1213"
"S0476","uses","T1218.010"
"S0033","uses","T1056.001"
"S0236","uses","T1135"
"S0643","uses","T1105"
"G0093","uses","T1027"
"G0027","uses","T1555.005"
"S0106","uses","T1083"
"S0258","uses","T1505.004"
"S0484","uses","T1497"
"G0032","uses","T1106"
"S0106","uses","T1105"
"S0082","uses","T1059.003"
"S0605","uses","T1057"
"S0257","uses","T1123"
"S0009","uses","T1573.001"
"T1128","revoked-by","T1546.007"
"S0198","uses","T1573.001"
"S1172","uses","T1082"
"S9033","uses","T1134.001"
"S1239","uses","T1057"
"G0012","uses","T1082"
"T1686.003","subtechnique-of","T1686"
"T1590.001","subtechnique-of","T1590"
"S0601","uses","T1552.004"
"G0102","uses","T1074"
"G0016","uses","T1568"
"S0089","uses","T1057"
"M1017","mitigates","T1036"
"S1030","uses","T1566.002"
"S0496","uses","T1055"
"S0695","uses","T1055"
"M1022","mitigates","T1053.006"
"S1170","uses","T1102.002"
"T1090.003","subtechnique-of","T1090"
"G0065","uses","T1027.013"
"S1081","uses","T1082"
"G1048","uses","T1068"
"M1038","mitigates","T1129"
"S0496","uses","T1036.005"
"G0037","uses","T1027.010"
"S0496","uses","T1112"
"S0661","uses","T1041"
"G1001","uses","S0190"
"G0032","uses","T1078"
"G0035","uses","S0039"
"S0458","uses","T1046"
"G0134","uses","S0385"
"S0575","uses","T1140"
"S0260","uses","T1559.001"
"G1046","uses","T1588.002"
"S0650","uses","T1547.001"
"G0007","uses","T1567"
"S0502","uses","T1547.006"
"G0129","uses","T1049"
"G1001","uses","T1110"
"G1043","uses","T1036.008"
"G0034","uses","T1053.005"
"S1190","uses","T1082"
"G0045","uses","T1105"
"S0223","uses","T1036.004"
"S0534","uses","T1059.001"
"G0096","uses","T1071.002"
"G0009","uses","S0097"
"T1027.012","subtechnique-of","T1027"
"T1090.004","subtechnique-of","T1090"
"M1045","mitigates","T1059"
"S0683","uses","T1530"
"T1485.001","subtechnique-of","T1485"
"S0060","uses","T1069.001"
"S0373","uses","T1497.001"
"S1153","uses","T1518"
"S0410","uses","T1036.004"
"S9039","uses","T1679"
"S0008","uses","T1003.004"
"S0154","uses","T1197"
"S0132","uses","T1490"
"G0006","uses","S0029"
"M1047","mitigates","T1574.009"
"S1066","uses","T1547.004"
"G1048","uses","T1673"
"S1064","uses","T1053.005"
"S0223","uses","T1087.001"
"S0252","uses","T1057"
"G0066","uses","S0204"
"G0082","uses","T1189"
"G1048","uses","T1564.011"
"S0194","uses","T1047"
"M1033","mitigates","T1564"
"S1246","uses","T1654"
"G0129","uses","T1059.005"
"S0652","uses","T1106"
"S0629","uses","T1105"
"M1027","mitigates","T1552.004"
"T1027.017","subtechnique-of","T1027"
"S1212","uses","T1059.003"
"T1672","revoked-by","T1684.002"
"G0007","uses","T1056.001"
"S0258","uses","T1059.003"
"G1043","uses","T1053.005"
"S9039","uses","T1685"
"G0091","uses","T1547.001"
"S0081","uses","T1543.003"
"G0016","uses","T1068"
"G0069","uses","T1590.004"
"S9023","uses","T1571"
"S1138","uses","T1584.001"
"S0448","uses","T1033"
"G1047","uses","T1132"
"S1151","uses","T1068"
"M1020","mitigates","T1090.004"
"S0066","uses","T1071.001"
"S1060","uses","T1685.005"
"M1038","mitigates","T1218.009"
"S0564","uses","T1071.001"
"S0345","uses","T1083"
"M1056","mitigates","T1584.007"
"T1548.001","subtechnique-of","T1548"
"S0236","uses","T1140"
"S0024","uses","T1074.001"
"G0060","uses","T1113"
"S0531","uses","T1036.005"
"S0170","uses","T1573.001"
"S0192","uses","T1573.002"
"S0017","uses","T1113"
"S1185","uses","T1555.001"
"G0079","uses","T1187"
"S0559","uses","T1132.001"
"S0038","uses","T1087.001"
"G0016","uses","S0150"
"M1022","mitigates","T1218.002"
"G0049","uses","T1505.003"
"S1249","uses","T1105"
"G1006","uses","T1584.006"
"S1032","uses","T1059.006"
"S9003","uses","T1497.003"
"S0379","uses","T1125"
"M1052","mitigates","T1550.002"
"S0470","uses","T1055"
"G0059","uses","T1071.001"
"S0457","uses","T1570"
"G0102","uses","T1078.002"
"G1016","uses","T1505.003"
"G0095","uses","T1566.002"
"S0666","uses","T1547.001"
"S0240","uses","T1012"
"G0065","uses","T1589.001"
"S0031","uses","T1112"
"G1051","uses","T1087.001"
"S0641","uses","T1059.004"
"G0009","uses","S0039"
"S0140","uses","T1012"
"S9029","uses","T1082"
"S0517","uses","T1055.004"
"S0662","uses","T1218.007"
"T1218.015","subtechnique-of","T1218"
"S0534","uses","T1027.013"
"S0673","uses","T1112"
"G1033","uses","T1583.001"
"G0010","uses","T1090"
"G0084","uses","T1027"
"M1060","mitigates","T1213"
"S0194","uses","T1574.009"
"G0107","uses","T1574.001"
"S0629","uses","T1140"
"S0059","uses","T1082"
"G1003","uses","T1560"
"S0455","uses","T1055.001"
"S1130","uses","T1547.001"
"S0144","uses","T1547.001"
"G0027","uses","S0039"
"S0176","uses","T1070.004"
"S0643","uses","T1071.001"
"S0409","uses","T1053.005"
"S0531","uses","T1112"
"S0513","uses","T1027.003"
"G0049","uses","T1587.001"
"S0488","uses","T1049"
"S0049","uses","T1087.001"
"G0073","uses","T1564.003"
"G0019","uses","T1518.001"
"S0048","uses","T1003"
"G0052","uses","T1560.001"
"S0348","uses","T1105"
"G1043","uses","T1134.003"
"S0670","uses","T1005"
"S1018","uses","T1027"
"S0011","uses","T1112"
"S0567","uses","T1547"
"S0650","uses","T1027.011"
"G0096","uses","T1018"
"S1031","uses","T1005"
"S9023","uses","T1573.002"
"S0622","uses","T1016"
"S0013","uses","T1095"
"S9001","uses","T1105"
"S1052","uses","T1082"
"S0018","uses","T1087.002"
"M1015","mitigates","T1134.005"
"S0668","uses","T1569.002"
"G0035","uses","T1203"
"S0341","uses","T1218.005"
"G1001","uses","T1053.005"
"S0275","uses","T1033"
"S0262","uses","T1056.001"
"M1049","mitigates","T1027.009"
"S1068","uses","T1489"
"S0482","uses","T1189"
"S0594","uses","T1059.003"
"S1052","uses","T1027.009"
"S0439","uses","T1543.003"
"S0650","uses","T1036.008"
"S1060","uses","T1132.001"
"S0670","uses","T1105"
"S0434","uses","T1070.004"
"S0603","uses","T1112"
"S0004","uses","T1685"
"G0140","uses","T1204.001"
"G0142","uses","T1204.001"
"G0046","uses","T1021.005"
"S1202","uses","T1027.013"
"G1031","uses","T1059.003"
"G0049","uses","T1608.001"
"G0082","uses","T1083"
"S1130","uses","T1559"
"T1600.002","subtechnique-of","T1600"
"G0060","uses","T1036"
"S0622","uses","T1036"
"S0518","uses","T1218.011"
"S0414","uses","T1012"
"S1239","uses","T1082"
"S1242","uses","T1087.001"
"G1055","uses","T1190"
"G1007","uses","T1091"
"S0659","uses","T1071.001"
"G0119","uses","T1036.005"
"G0092","uses","T1218.007"
"S0449","uses","T1049"
"S0262","uses","T1573.001"
"G0129","uses","T1219.001"
"G1023","uses","S0012"
"G1048","uses","T1587.001"
"S0652","uses","T1105"
"M1037","mitigates","T1498.002"
"M1018","mitigates","T1556.009"
"S0221","uses","T1059.003"
"S0187","uses","T1027.002"
"S1043","uses","T1059.003"
"S0400","uses","T1490"
"S9026","uses","T1204.002"
"S0351","uses","T1680"
"G0138","uses","T1203"
"S1070","uses","T1497"
"G0037","uses","S0632"
"S0125","uses","T1056.001"
"S0668","uses","T1112"
"G0052","uses","T1059.001"
"S0650","uses","T1135"
"S1161","uses","T1036.011"
"S9015","uses","T1071.001"
"S1042","uses","T1518"
"S0336","uses","T1027"
"G0129","uses","T1567.002"
"S0219","uses","T1033"
"S9008","uses","T1677"
"S0451","uses","T1027.013"
"T1218.012","subtechnique-of","T1218"
"G1017","uses","T1074"
"G1018","uses","T1082"
"S0023","uses","T1059"
"S0215","uses","T1105"
"S0141","uses","T1090.002"
"T1553.005","subtechnique-of","T1553"
"S1016","uses","T1113"
"S0168","uses","T1547.001"
"M1042","mitigates","T1557.001"
"S0275","uses","T1059.003"
"S0430","uses","T1071.001"
"G0093","uses","T1553.002"
"S0331","uses","T1016"
"G0142","uses","T1567.002"
"G0021","uses","T1105"
"S1160","uses","T1033"
"S0649","uses","T1564.002"
"G1046","uses","S1209"
"S0534","uses","T1518.001"
"S1029","uses","T1095"
"S1244","uses","T1679"
"S0019","uses","T1071.001"
"S0242","uses","T1033"
"S0256","uses","T1070.004"
"G0096","uses","T1027.002"
"S0588","uses","T1124"
"G0049","uses","T1036"
"S1035","uses","T1105"
"M1017","mitigates","T1213"
"M1029","mitigates","T1070.007"
"G0114","uses","T1078"
"S0349","uses","T1003.004"
"S1105","uses","T1095"
"G0129","uses","T1053.005"
"S0181","uses","T1070.006"
"S0385","uses","T1120"
"S0241","uses","T1049"
"G0004","uses","S0096"
"S0013","uses","T1204.002"
"S9027","uses","T1106"
"G1044","uses","T1070"
"M1031","mitigates","T1102"
"S0410","uses","T1057"
"S1065","uses","T1082"
"S0013","uses","T1680"
"S0595","uses","T1071.001"
"G0078","uses","T1106"
"G0050","uses","T1552.002"
"S0671","uses","T1071.001"
"S9021","uses","T1027.013"
"S0512","uses","T1497.003"
"S0483","uses","T1048.002"
"S0088","uses","T1059.003"
"S0598","uses","T1222.002"
"G0046","uses","T1036.005"
"S0590","uses","T1040"
"G0125","uses","T1584.005"
"S1242","uses","T1489"
"S0608","uses","T1124"
"S0125","uses","T1057"
"G1005","uses","T1567.002"
"S0369","uses","T1564.001"
"S1105","uses","T1057"
"G0087","uses","T1135"
"G0076","uses","S0029"
"G0049","uses","T1219"
"M1040","mitigates","T1059.007"
"G0081","uses","T1573"
"S9031","uses","T1071.001"
"S0367","uses","T1078.003"
"G0007","uses","T1083"
"S0255","uses","T1140"
"S1111","uses","T1614"
"T1564.011","subtechnique-of","T1564"
"S0584","uses","T1566.002"
"S9020","uses","T1573.001"
"G1017","uses","S0645"
"S0271","uses","T1083"
"S1240","uses","T1518.001"
"S0331","uses","T1218.009"
"S0334","uses","T1125"
"G0027","uses","T1566.001"
"G0027","uses","S0096"
"S1159","uses","T1056.001"
"S0385","uses","T1125"
"S0484","uses","T1041"
"S0257","uses","T1070.004"
"G0034","uses","S0002"
"S0165","uses","T1087.001"
"S0468","uses","T1036.005"
"S0373","uses","T1129"
"S1167","uses","T1529"
"S1130","uses","T1571"
"T1562.001","revoked-by","T1685"
"S0020","uses","T1105"
"S0431","uses","T1573.001"
"G0059","uses","T1486"
"S0281","uses","T1027.002"
"S0561","uses","T1055"
"S0650","uses","T1055.012"
"S0658","uses","T1105"
"S1044","uses","T1559.001"
"S1201","uses","T1059.001"
"S0458","uses","T1071.001"
"S0531","uses","T1102.002"
"S0051","uses","T1082"
"S0271","uses","T1105"
"S0360","uses","T1059.003"
"S0649","uses","T1132.001"
"G0080","uses","T1518.001"
"S0552","uses","T1482"
"S0354","uses","T1012"
"S0126","uses","T1518"
"S1100","uses","T1036.005"
"G1016","uses","T1082"
"S1138","uses","T1069.002"
"M1018","mitigates","T1566.003"
"G0037","uses","T1059.007"
"S0086","uses","T1082"
"S0337","uses","T1071.003"
"G0049","uses","S0264"
"G0070","uses","S0182"
"S0194","uses","T1012"
"T1488","revoked-by","T1561.001"
"G0134","uses","T1059.005"
"G0078","uses","T1547.001"
"G0129","uses","T1087.002"
"S0194","uses","T1005"
"S0546","uses","T1059.003"
"G0034","uses","T1190"
"G0069","uses","S0223"
"G1021","uses","T1484.001"
"S0023","uses","T1071.003"
"S1026","uses","T1120"
"S1070","uses","T1491.001"
"S0239","uses","T1203"
"S0083","uses","T1041"
"S0229","uses","T1070"
"G0047","uses","S0686"
"S0063","uses","T1027"
"S0154","uses","T1055.012"
"S0659","uses","T1057"
"G0016","uses","S0634"
"S1065","uses","T1059.001"
"S0556","uses","T1070.004"
"S0378","uses","T1007"
"S9008","uses","T1485"
"G0010","uses","T1068"
"S0462","uses","T1059.003"
"G0018","uses","S0096"
"S1218","uses","T1573.001"
"S1181","uses","T1070.006"
"G1040","uses","T1070.004"
"S0446","uses","T1490"
"S1187","uses","T1572"
"S1014","uses","T1021.005"
"S1142","uses","T1041"
"G1031","uses","T1553.002"
"G0069","uses","T1559.001"
"S1015","uses","T1016"
"S1229","uses","T1204.004"
"G0061","uses","T1021.001"
"S0278","uses","T1056.002"
"G0065","uses","T1003.001"
"S0515","uses","T1571"
"S0201","uses","T1070.004"
"S1060","uses","T1059.003"
"S0496","uses","T1485"
"G1040","uses","T1059.003"
"M1047","mitigates","T1685.001"
"S0161","uses","T1033"
"S1236","uses","T1106"
"S0372","uses","T1486"
"G0106","uses","T1059.004"
"G0069","uses","T1571"
"S1096","uses","T1059.012"
"S0039","uses","T1018"
"G0059","uses","T1016.001"
"G0094","uses","T1534"
"S0361","uses","T1140"
"G0070","uses","T1027.002"
"S0546","uses","T1053.005"
"S0627","uses","T1027"
"S0484","uses","T1105"
"G0059","uses","T1586.002"
"G0096","uses","T1553.002"
"S0130","uses","T1105"
"S0115","uses","T1547.001"
"S0376","uses","T1090"
"G0060","uses","T1588.002"
"S0192","uses","T1548.002"
"S0267","uses","T1112"
"S0155","uses","T1033"
"S0374","uses","T1110.001"
"G0073","uses","T1016"
"S1139","uses","T1106"
"G0106","uses","T1082"
"S0532","uses","T1105"
"G1005","uses","T1102.002"
"S0356","uses","T1134.004"
"S1120","uses","T1071.001"
"S0367","uses","T1547.001"
"S0363","uses","T1552.001"
"S1066","uses","T1497.003"
"G1043","uses","T1070.004"
"S0084","uses","T1547"
"S1113","uses","T1005"
"G0034","uses","T1078.002"
"G1031","uses","T1204.001"
"G0006","uses","S0026"
"G0001","uses","T1584.005"
"G0032","uses","T1027.009"
"M1056","mitigates","T1591.003"
"S0086","uses","T1560.002"
"S0368","uses","T1053.005"
"G1015","uses","T1585.001"
"G0004","uses","S0104"
"S0117","uses","T1059.003"
"S0021","uses","T1059.004"
"G0121","uses","T1059.007"
"S9024","uses","T1574"
"S0582","uses","T1059.003"
"M1015","mitigates","T1606.002"
"M1026","mitigates","T1556.003"
"S0046","uses","T1547.001"
"S0649","uses","T1136.001"
"S9007","uses","T1573.001"
"S0650","uses","T1059.007"
"S1030","uses","T1218.010"
"S0192","uses","T1059.001"
"S0053","uses","T1078"
"S0182","uses","T1574.001"
"S0397","uses","T1564.004"
"G1055","uses","T1114.002"
"G0108","uses","T1543.003"
"M1022","mitigates","T1547.003"
"S0058","uses","T1008"
"S0250","uses","T1033"
"G0007","uses","T1190"
"S1110","uses","T1132.001"
"S0057","uses","T1057"
"S0680","uses","T1033"
"S0629","uses","T1071.001"
"S0034","uses","T1071"
"S0513","uses","T1016"
"S0235","uses","T1543.001"
"S1085","uses","T1546.003"
"G1054","uses","S0190"
"G0067","uses","T1102.002"
"G0117","uses","T1005"
"S0514","uses","T1059.001"
"G0081","uses","T1071.001"
"M1024","mitigates","T1505"
"S1180","uses","T1059.007"
"S1121","uses","T1095"
"T1098.001","subtechnique-of","T1098"
"M1042","mitigates","T1046"
"T1499.003","subtechnique-of","T1499"
"G0094","uses","S0160"
"S0011","uses","T1071.001"
"S0259","uses","T1082"
"G0121","uses","T1027.013"
"S0063","uses","T1083"
"S0363","uses","T1560"
"S1152","uses","T1106"
"T1060","revoked-by","T1547.001"
"S0046","uses","T1518.001"
"S0337","uses","T1074.001"
"G1014","uses","T1608.005"
"G0046","uses","T1564.003"
"G1003","uses","T1036"
"S0378","uses","T1134.002"
"S0074","uses","T1105"
"S0443","uses","T1040"
"S0499","uses","T1218.012"
"G0139","uses","T1543.003"
"G0061","uses","T1003.001"
"S0673","uses","T1490"
"G0073","uses","T1033"
"S0649","uses","T1112"
"S0530","uses","T1218.007"
"G0122","uses","T1594"
"G0010","uses","T1615"
"G0010","uses","T1049"
"M1042","mitigates","T1218.015"
"S0517","uses","T1112"
"S0219","uses","T1083"
"G0044","uses","S0501"
"S0428","uses","T1105"
"G0059","uses","T1053.005"
"S0250","uses","T1564.003"
"S0265","uses","T1485"
"S0572","uses","T1057"
"G1022","uses","T1069.002"
"S1070","uses","T1018"
"S0341","uses","T1547.001"
"S0412","uses","T1071.001"
"S0409","uses","T1217"
"G0068","uses","T1204.002"
"M1026","mitigates","T1021.006"
"S1206","uses","T1040"
"G1009","uses","S0029"
"S0063","uses","T1087.001"
"S0049","uses","T1057"
"M1042","mitigates","T1127.002"
"S0486","uses","T1573.001"
"S1071","uses","T1482"
"S1189","uses","T1095"
"S9018","uses","T1055.012"
"S0234","uses","T1059.003"
"S0241","uses","T1059.003"
"S9024","uses","T1037"
"G0016","uses","T1546.003"
"S0501","uses","T1112"
"S0442","uses","T1059.005"
"G1030","uses","S1132"
"S0190","uses","T1570"
"G0052","uses","T1090"
"G1046","uses","T1219.002"
"S0532","uses","T1573.001"
"G0065","uses","T1586.001"
"S9018","uses","T1497.001"
"S0062","uses","T1070.004"
"S0562","uses","T1134"
"G0129","uses","S0596"
"S0032","uses","T1105"
"S0447","uses","T1055.012"
"M1051","mitigates","T1072"
"M1056","mitigates","T1683.001"
"M1028","mitigates","T1543.003"
"G0076","uses","T1059.001"
"G0051","uses","T1570"
"S0072","uses","T1056.001"
"G1052","uses","T1593.003"
"T1564.002","subtechnique-of","T1564"
"S0354","uses","T1140"
"S0601","uses","T1070.004"
"S0572","uses","T1005"
"S0113","uses","T1120"
"S0237","uses","T1124"
"S1028","uses","T1071.001"
"S0635","uses","T1105"
"S0198","uses","T1560.003"
"G0094","uses","T1190"
"G0129","uses","T1598.003"
"G0064","uses","S0358"
"S1081","uses","T1113"
"S0484","uses","T1021.005"
"S0154","uses","T1518"
"S1224","uses","T1140"
"G0117","uses","T1585"
"S0081","uses","T1016"
"S0370","uses","T1059.003"
"G1047","uses","T1047"
"S0606","uses","T1569.002"
"S0369","uses","T1027"
"G0129","uses","T1678"
"G0022","uses","S0013"
"G0119","uses","T1007"
"S0511","uses","T1105"
"G0034","uses","T1003.003"
"G0046","uses","T1566.002"
"S0260","uses","T1547.001"
"S0695","uses","T1059"
"S0651","uses","T1106"
"G0034","uses","T1036"
"G1016","uses","T1016"
"S0673","uses","T1074.001"
"S1185","uses","T1105"
"G0016","uses","T1547.001"
"S1149","uses","T1071.001"
"G0138","uses","T1005"
"T1102.003","subtechnique-of","T1102"
"T1132.001","subtechnique-of","T1132"
"S1065","uses","T1041"
"S1152","uses","T1047"
"S0335","uses","T1049"
"M1031","mitigates","T1041"
"S0234","uses","T1056.001"
"G0099","uses","T1047"
"S0517","uses","T1012"
"G1017","uses","T1590"
"S0343","uses","T1059.005"
"S0055","uses","T1095"
"S0091","uses","T1070.004"
"G0010","uses","T1106"
"S1019","uses","T1059.003"
"S1039","uses","T1140"
"S1236","uses","T1547.001"
"S0486","uses","T1082"
"G1030","uses","T1140"
"S0356","uses","T1027.002"
"S0481","uses","T1569.002"
"S0355","uses","T1140"
"S0495","uses","T1059.003"
"S0533","uses","T1007"
"G1055","uses","T1074"
"S0692","uses","T1135"
"S0340","uses","T1033"
"S0688","uses","T1036.004"
"S0499","uses","T1027.015"
"S1244","uses","T1007"
"G0059","uses","T1592.002"
"S0095","uses","T1570"
"S0148","uses","T1027.015"
"S0483","uses","T1069"
"S9010","uses","T1602.002"
"S0373","uses","T1059.005"
"G0129","uses","T1564.001"
"G0032","uses","S1182"
"S9036","uses","T1078"
"S0037","uses","T1001.002"
"S0616","uses","T1486"
"S0649","uses","T1098.007"
"G0114","uses","T1550.002"
"S0274","uses","T1016"
"G0069","uses","S1040"
"S0272","uses","T1105"
"S9037","uses","T1071.001"
"S0011","uses","T1573.001"
"S1170","uses","T1059.003"
"S0087","uses","T1573.001"
"G0056","uses","S0178"
"S0684","uses","T1119"
"S0455","uses","T1102.001"
"G0045","uses","T1588.002"
"G0050","uses","S0585"
"S0011","uses","T1106"
"S0584","uses","T1543.003"
"G1054","uses","T1090"
"M1056","mitigates","T1588.003"
"S0687","uses","T1082"
"S1111","uses","T1680"
"G0045","uses","T1204.002"
"S0267","uses","T1680"
"G1043","uses","T1543.003"
"S0491","uses","T1016"
"G0092","uses","S0460"
"M1015","mitigates","T1649"
"S0284","uses","T1059.003"
"S0240","uses","T1555.003"
"G0004","uses","T1140"
"G0049","uses","T1218.001"
"G0032","uses","S0376"
"S1060","uses","T1112"
"G1039","uses","T1005"
"S0127","uses","T1560.002"
"S0170","uses","T1547.009"
"S0635","uses","T1140"
"S0184","uses","T1047"
"M1032","mitigates","T1599"
"G1023","uses","T1654"
"M1038","mitigates","T1548"
"S1160","uses","T1053.005"
"G0127","uses","T1204.002"
"S1227","uses","T1001.003"
"S9010","uses","T1555.001"
"S1207","uses","T1539"
"S0491","uses","T1041"
"S1247","uses","T1106"
"M1040","mitigates","T1204"
"G0096","uses","T1596.005"
"G1053","uses","T1530"
"S9001","uses","T1106"
"G0027","uses","T1012"
"G0045","uses","S0626"
"M1050","mitigates","T1211"
"G0133","uses","T1059.003"
"G0047","uses","T1566.001"
"S0034","uses","T1041"
"S0180","uses","T1082"
"S1041","uses","T1140"
"G0127","uses","S0483"
"S1202","uses","T1027.002"
"S0348","uses","T1083"
"G0069","uses","S0594"
"S0622","uses","T1566.001"
"T1588.007","subtechnique-of","T1588"
"S1221","uses","T1071.001"
"S1185","uses","T1113"
"S0072","uses","T1083"
"S1242","uses","T1566.002"
"S0618","uses","T1059"
"S1141","uses","T1497.003"
"S0680","uses","T1105"
"S0335","uses","T1012"
"S1213","uses","T1518.001"
"G0010","uses","S0126"
"G0033","uses","T1003"
"S0147","uses","T1105"
"M1039","mitigates","T1690"
"G1003","uses","T1595.002"
"S9034","uses","T1195.001"
"G1015","uses","T1539"
"G1003","uses","T1583.003"
"S0382","uses","T1573.002"
"S1049","uses","T1016.001"
"G0139","uses","T1608.001"
"S0004","uses","T1115"
"S0137","uses","T1132.001"
"G1024","uses","T1482"
"S1124","uses","T1614"
"S1066","uses","T1574.012"
"S1220","uses","T1027.013"
"S0250","uses","T1003.002"
"S0554","uses","T1197"
"S0055","uses","T1083"
"S0108","uses","T1686"
"S0181","uses","T1573.001"
"S0195","uses","T1070.004"
"G0036","uses","T1021.005"
"G0096","uses","T1588.002"
"S1024","uses","T1071.001"
"S0262","uses","T1555.003"
"S0605","uses","T1486"
"G0047","uses","T1082"
"S0635","uses","T1102"
"G0021","uses","T1553.002"
"S1035","uses","T1132.002"
"M1038","mitigates","T1548.004"
"S0635","uses","T1087.002"
