"attack_id","name","stix_id"
"G1004","LAPSUS$","intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7"
"G0114","Chimera","intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c"
"G1018","TA2541","intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0"
"G1022","ToddyCat","intrusion-set--b516b235-fc7d-4635-aca5-3d33312339c3"
"G1002","BITTER","intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9"
"G0048","RTM","intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f"
"G0045","menuPass","intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f"
"G0116","Operation Wocao","intrusion-set--28f04ed3-8e91-4805-b1f6-869020517871"
"G1053","Storm-0501","intrusion-set--7b404cd0-3ae9-41d4-90c0-023793d35d97"
"G0081","Tropic Trooper","intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924"
"G1020","Mustard Tempest","intrusion-set--0d4ac089-ced4-4cc4-a989-174d08e6d030"
"G0073","APT19","intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6"
"G1009","Moses Staff","intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c"
"G0014","Night Dragon","intrusion-set--23b6a0f5-fa95-46f9-a6f3-4549c5e45ec8"
"G0021","Molerats","intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411"
"G0038","Stealth Falcon","intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8"
"G1054","MirrorFace","intrusion-set--8cf6e33b-b6ef-4a1f-a77c-0ecdde93161f"
"G0105","DarkVishnya","intrusion-set--813636db-3939-4a45-bea9-6113e970c029"
"G0067","APT37","intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c"
"G1055","VOID MANTICORE","intrusion-set--ebd7ce77-c9ba-4fba-bb28-58296ac66559"
"G0028","Threat Group-1314","intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983"
"G0096","APT41","intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7"
"G1032","INC Ransom","intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1"
"G1016","FIN13","intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4"
"G0043","Group5","intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40"
"G0068","PLATINUM","intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694"
"G0093","GALLIUM","intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258"
"G0051","FIN10","intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b"
"G0044","Winnti Group","intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff"
"G0061","FIN8","intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826"
"G0106","Rocke","intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad"
"G1042","RedEcho","intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae"
"G1031","Saint Bear","intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a"
"G1015","Scattered Spider","intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b"
"G1012","CURIUM","intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a"
"G0124","Windigo","intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a"
"G0108","Blue Mockingbird","intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee"
"G1039","RedCurl","intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89"
"G0132","CostaRicto","intrusion-set--bb82e0b0-6e9c-439f-970a-4c917a74c5f2"
"G0085","FIN4","intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6"
"G1052","Contagious Interview","intrusion-set--46599a4a-77ee-4697-9474-2683b6464859"
"G0078","Gorgon Group","intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27"
"G0074","Dragonfly 2.0","intrusion-set--76d59913-1d24-4992-a8ac-05a3eb093f71"
"G0121","Sidewinder","intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e"
"G0141","Gelsemium","intrusion-set--99910207-1741-4da1-9b5d-537410186b51"
"G0126","Higaisa","intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3"
"G0013","APT30","intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd"
"G0112","Windshift","intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1"
"G0142","Confucius","intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f"
"G1043","BlackByte","intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a"
"G0027","Threat Group-3390","intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c"
"G1045","Salt Typhoon","intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390"
"G0131","Tonto Team","intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960"
"G0047","Gamaredon Group","intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf"
"G1030","Agrius","intrusion-set--b8137919-38cb-4db0-90f3-437be885faba"
"G1041","Sea Turtle","intrusion-set--56a05d27-4d47-418a-b330-781c5614f202"
"G0075","Rancor","intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142"
"G1036","Moonstone Sleet","intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0"
"G0127","TA551","intrusion-set--94873029-f950-4268-9cfd-5032e15cb182"
"G0001","Axiom","intrusion-set--a0cb9370-e39b-44d5-9f50-ef78e412b973"
"G0070","Dark Caracal","intrusion-set--8a831aaa-f3e0-47a3-bed8-a9ced744dd12"
"G0133","Nomadic Octopus","intrusion-set--fed4f0a2-4347-4530-b0f5-6dfd49b29172"
"G0005","APT12","intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb"
"G0022","APT3","intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9"
"G0024","Putter Panda","intrusion-set--5ce5392a-3a6c-4e07-9df3-9b6a9159ac45"
"G1013","Metador","intrusion-set--bfc5ddb3-4dfb-4278-8928-020e1b3feddd"
"G0062","TA459","intrusion-set--62a64fd3-aaf7-4d09-a375-d6f8bb118481"
"G0128","ZIRCONIUM","intrusion-set--4283ae19-69c7-4347-a35e-b56f08eb660b"
"G0006","APT1","intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662"
"G0019","Naikon","intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050"
"G0031","Dust Storm","intrusion-set--ae41895a-243f-4a65-b99b-d85022326c31"
"G0054","Sowbug","intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e"
"G0103","Mofang","intrusion-set--88489675-d216-4884-a98f-49a89fcc1643"
"G0095","Machete","intrusion-set--38863958-a201-4ce1-9dbe-539b0b6804e0"
"G0053","FIN5","intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022"
"G1035","Winter Vivern","intrusion-set--75a07184-a7e5-4222-95a1-a04dbc96a29c"
"G1008","SideCopy","intrusion-set--03be849d-b5a2-4766-9dda-48976bae5710"
"G0064","APT33","intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f"
"G0030","Lotus Blossom","intrusion-set--88b7dbc2-32d3-4e31-af2f-3fc24e1582d7"
"G0115","GOLD SOUTHFIELD","intrusion-set--c77c5576-ca19-42ed-a36f-4b4486a84133"
"G0123","Volatile Cedar","intrusion-set--b2e34388-6938-4c59-a702-80dc219e15e3"
"G0120","Evilnum","intrusion-set--1f0f9a14-11aa-49aa-9174-bcd0eaa979de"
"G0104","Sharpshooter","intrusion-set--5e78ae92-3ffd-4b16-bf62-e798529d73f1"
"G0003","Cleaver","intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063"
"G0088","TEMP.Veles","intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4"
"G0079","DarkHydrus","intrusion-set--6b9ebeb5-20bf-48b0-afb7-988d769a2f01"
"G0107","Whitefly","intrusion-set--b74f909f-8e52-4b69-b770-162bf59a1b4e"
"G0122","Silent Librarian","intrusion-set--90784c1e-4aba-40eb-9adf-7556235e6384"
"G0026","APT18","intrusion-set--38fd6a28-3353-4f2b-bb2b-459fecd5c648"
"G0008","Carbanak","intrusion-set--55033a4d-3ffe-46b2-99b4-2c1541e9ce1c"
"G0071","Orangeworm","intrusion-set--5636b7b3-d99b-4edd-aa05-ee649c1d4ef1"
"G0009","Deep Panda","intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064"
"G0089","The White Company","intrusion-set--6688d679-ccdb-4f12-abf6-c7545dd767a4"
"G0033","Poseidon Group","intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446"
"G0140","LazyScripter","intrusion-set--abc5a1d4-f0dc-49d1-88a1-4a80e478bb03"
"G0084","Gallmaker","intrusion-set--2fd2be6a-d3a2-4a65-b499-05ea2693abee"
"G1019","MoustachedBouncer","intrusion-set--7251b44b-6072-476c-b8d9-a6e32c355b28"
"G0052","CopyKittens","intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a"
"G0076","Thrip","intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172"
"G0086","Stolen Pencil","intrusion-set--7a0d4c09-dfe7-4fa2-965a-1a0e42fedd70"
"G0056","PROMETHIUM","intrusion-set--efed95ba-d7e8-47ff-8c53-99c42426ee7c"
"G0036","GCMAN","intrusion-set--0ea72cd5-ca30-46ba-bc04-378f701c658f"
"G0137","Ferocious Kitten","intrusion-set--6566aac9-dad8-4332-ae73-20c23bad7f02"
"G0011","PittyTiger","intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647"
"G0025","APT17","intrusion-set--090242d7-73fc-4738-af68-20162f7a5aae"
"G1050","Water Galura","intrusion-set--be8847e0-9512-45db-895e-f871ab6d3820"
"G0063","BlackOasis","intrusion-set--da49b9f1-ca99-443f-9728-0a074db66850"
"G0136","IndigoZebra","intrusion-set--e5603ea8-4c36-40e7-b7af-a077d24fedc1"
